title,rating,sold,price,price_display,Link
"Samsung Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked, 6.7"", Dual SIM, 50MP Triple Camera (Case Bundle), Black",4.3,3K+ bought in past month,35645.81,"35,645.81",https://amazon.com/Samsung-International-SM-A165F-Factory-Unlocked/dp/B0DM1S54MZ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Iz7Ja1WtBIJvVZRrC-G1ybL06r1Uuabsj5t3dOYz0A-ETu1G_72WA071M2pQ2dAMuzp0CGdJox5fN2LXJ9Iz40FHHBpVO2OfZknSYrwQqugVMJHL4OuKMurQ2-6ybvYuhv6c70UjqHGM-dp51UWUfQ15Yt0znfrPWv-RG6ftPXsOHIyqhOamVx9Pn_G06hFvrDOu7a7dTKwdOkLhxEP4oEEOeQ2Tc9rcMtZHa8HGpZw.icNgq-DuTU0wW6br2T7yM_lOvIHkYNUPJWYIQiVS3OQ&dib_tag=se&keywords=Android+phones&qid=1772722783&sr=8-1
"Samsung Galaxy A17 5G Smart Phone, 128GB, Large AMOLED, High-Res Camera, Durable Design, Super Fast Charging, Expandable Storage, Circle to Search, 2025, US 1 Yr Manufacturer Warranty, Black",4.0,1K+ bought in past month,55912.2,"55,912.20",https://amazon.com/Samsung-High-Res-Charging-Expandable-Manufacturer/dp/B0FXY18C1J/ref=sr_1_3?dib=eyJ2IjoiMSJ9.Iz7Ja1WtBIJvVZRrC-G1ybL06r1Uuabsj5t3dOYz0A-ETu1G_72WA071M2pQ2dAMuzp0CGdJox5fN2LXJ9Iz40FHHBpVO2OfZknSYrwQqugVMJHL4OuKMurQ2-6ybvYuhv6c70UjqHGM-dp51UWUfQ15Yt0znfrPWv-RG6ftPXsOHIyqhOamVx9Pn_G06hFvrDOu7a7dTKwdOkLhxEP4oEEOeQ2Tc9rcMtZHa8HGpZw.icNgq-DuTU0wW6br2T7yM_lOvIHkYNUPJWYIQiVS3OQ&dib_tag=se&keywords=Android+phones&qid=1772722783&sr=8-3
"Samsung Galaxy S25 FE Cell Phone (2025), 256GB AI Smartphone, Unlocked Android, Large Display, 4900mAh Battery, High Res-Camera, AI Photo Edits, Durable, US 1 Yr Warranty, JetBlack",4.6,500+ bought in past month,171099.9,"171,099.90",https://amazon.com/Samsung-Smartphone-Unlocked-Res-Camera-Warranty/dp/B0FG1THCD7/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Iz7Ja1WtBIJvVZRrC-G1ybL06r1Uuabsj5t3dOYz0A-ETu1G_72WA071M2pQ2dAMuzp0CGdJox5fN2LXJ9Iz40FHHBpVO2OfZknSYrwQqugVMJHL4OuKMurQ2-6ybvYuhv6c70UjqHGM-dp51UWUfQ15Yt0znfrPWv-RG6ftPXsOHIyqhOamVx9Pn_G06hFvrDOu7a7dTKwdOkLhxEP4oEEOeQ2Tc9rcMtZHa8HGpZw.icNgq-DuTU0wW6br2T7yM_lOvIHkYNUPJWYIQiVS3OQ&dib_tag=se&keywords=Android+phones&qid=1772722783&sr=8-4
"Google Pixel 9a with Gemini - Unlocked Android Smartphone with Incredible Camera and AI Photo Editing, All-Day Battery, and Powerful Security - Obsidian - 128 GB",4.5,2K+ bought in past month,123010.2,"123,010.20",https://amazon.com/Google-Pixel-Gemini-Smartphone-Incredible/dp/B0DVHV7X53/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Iz7Ja1WtBIJvVZRrC-G1ybL06r1Uuabsj5t3dOYz0A-ETu1G_72WA071M2pQ2dAMuzp0CGdJox5fN2LXJ9Iz40FHHBpVO2OfZknSYrwQqugVMJHL4OuKMurQ2-6ybvYuhv6c70UjqHGM-dp51UWUfQ15Yt0znfrPWv-RG6ftPXsOHIyqhOamVx9Pn_G06hFvrDOu7a7dTKwdOkLhxEP4oEEOeQ2Tc9rcMtZHa8HGpZw.icNgq-DuTU0wW6br2T7yM_lOvIHkYNUPJWYIQiVS3OQ&dib_tag=se&keywords=Android+phones&qid=1772722783&sr=8-5
"SAMSUNG Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked 6.7"" Dual Sim 50MP Dual Cam (Case Bundle) (Gray)",4.3,1K+ bought in past month,34860.21,"34,860.21",https://amazon.com/SAMSUNG-International-SM-A165F-DS-Unlocked/dp/B0DT4T8D65/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Iz7Ja1WtBIJvVZRrC-G1ybL06r1Uuabsj5t3dOYz0A-ETu1G_72WA071M2pQ2dAMuzp0CGdJox5fN2LXJ9Iz40FHHBpVO2OfZknSYrwQqugVMJHL4OuKMurQ2-6ybvYuhv6c70UjqHGM-dp51UWUfQ15Yt0znfrPWv-RG6ftPXsOHIyqhOamVx9Pn_G06hFvrDOu7a7dTKwdOkLhxEP4oEEOeQ2Tc9rcMtZHa8HGpZw.icNgq-DuTU0wW6br2T7yM_lOvIHkYNUPJWYIQiVS3OQ&dib_tag=se&keywords=Android+phones&qid=1772722783&sr=8-6
Moto G 5G | 2024 | Unlocked | Made for US 4/128GB | 50MP Camera | Sage Green,4.3,2K+ bought in past month,36341.95,"36,341.95",https://amazon.com/Moto-Unlocked-128GB-Camera-Green/dp/B0CWHXVLXG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Iz7Ja1WtBIJvVZRrC-G1ybL06r1Uuabsj5t3dOYz0A-ETu1G_72WA071M2pQ2dAMuzp0CGdJox5fN2LXJ9Iz40FHHBpVO2OfZknSYrwQqugVMJHL4OuKMurQ2-6ybvYuhv6c70UjqHGM-dp51UWUfQ15Yt0znfrPWv-RG6ftPXsOHIyqhOamVx9Pn_G06hFvrDOu7a7dTKwdOkLhxEP4oEEOeQ2Tc9rcMtZHa8HGpZw.icNgq-DuTU0wW6br2T7yM_lOvIHkYNUPJWYIQiVS3OQ&dib_tag=se&keywords=Android+phones&qid=1772722783&sr=8-7
"SAMSUNG Galaxy A16 4G Dual SIM (128GB, 2025) 6.7"" 90Hz AMOLED, Splash Resistant, 8Core, 50MP Camera (Factory Unlocked International Model for GSM, Global) A165M/DS (25W Fast Charger Bundle, Black)",4.3,2K+ bought in past month,34661.71,"34,661.71",https://amazon.com/SAMSUNG-Resistant-Unlocked-International-DS/dp/B0DNRFGBQ4/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Iz7Ja1WtBIJvVZRrC-G1ybL06r1Uuabsj5t3dOYz0A-ETu1G_72WA071M2pQ2dAMuzp0CGdJox5fN2LXJ9Iz40FHHBpVO2OfZknSYrwQqugVMJHL4OuKMurQ2-6ybvYuhv6c70UjqHGM-dp51UWUfQ15Yt0znfrPWv-RG6ftPXsOHIyqhOamVx9Pn_G06hFvrDOu7a7dTKwdOkLhxEP4oEEOeQ2Tc9rcMtZHa8HGpZw.icNgq-DuTU0wW6br2T7yM_lOvIHkYNUPJWYIQiVS3OQ&dib_tag=se&keywords=Android+phones&qid=1772722783&sr=8-8
"SAMSUNG Galaxy A36 5G 2025 | 256GB, Dual SIM | 6.7"" 120Hz AMOLED, IP67 Water Resistant, Android 15 | International Model Factory Unlocked for T-Mobile & Global | 25W Fast Charger Bundle (Black)",4.3,500+ bought in past month,79678.88,"79,678.88",https://amazon.com/SAMSUNG-Resistant-International-Unlocked-T-Mobile/dp/B0F49DQKT8/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Iz7Ja1WtBIJvVZRrC-G1ybL06r1Uuabsj5t3dOYz0A-ETu1G_72WA071M2pQ2dAMuzp0CGdJox5fN2LXJ9Iz40FHHBpVO2OfZknSYrwQqugVMJHL4OuKMurQ2-6ybvYuhv6c70UjqHGM-dp51UWUfQ15Yt0znfrPWv-RG6ftPXsOHIyqhOamVx9Pn_G06hFvrDOu7a7dTKwdOkLhxEP4oEEOeQ2Tc9rcMtZHa8HGpZw.icNgq-DuTU0wW6br2T7yM_lOvIHkYNUPJWYIQiVS3OQ&dib_tag=se&keywords=Android+phones&qid=1772722783&sr=8-9
"Samsung Galaxy A36 5G A Series, 128GB Unlocked Android Smartphone, AMOLED Display, Rugged Design, 5G Connectivity, Affordable Performance, US Version, 2025, US 1 Yr Warranty, Awesome Lavender",4.4,100+ bought in past month,97848.45,"97,848.45",https://amazon.com/Samsung-A36-Smartphone-Connectivity-Performance/dp/B0DXHKH86B/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Iz7Ja1WtBIJvVZRrC-G1ybL06r1Uuabsj5t3dOYz0A-ETu1G_72WA071M2pQ2dAMuzp0CGdJox5fN2LXJ9Iz40FHHBpVO2OfZknSYrwQqugVMJHL4OuKMurQ2-6ybvYuhv6c70UjqHGM-dp51UWUfQ15Yt0znfrPWv-RG6ftPXsOHIyqhOamVx9Pn_G06hFvrDOu7a7dTKwdOkLhxEP4oEEOeQ2Tc9rcMtZHa8HGpZw.icNgq-DuTU0wW6br2T7yM_lOvIHkYNUPJWYIQiVS3OQ&dib_tag=se&keywords=Android+phones&qid=1772722783&sr=8-10
"Samsung Galaxy A56 5G 2025 | 256GB, 12GB, Dual SIM | 6.7"" 120Hz AMOLED, IP67 Water Resistant, Android 15 | International Model Factory Unlocked for T-Mobile & Global | 25W Charger Bundle (Graphite)",4.5,500+ bought in past month,106238.5,"106,238.50",https://amazon.com/SAMSUNG-Resistant-International-Unlocked-T-Mobile/dp/B0F493SPV4/ref=sr_1_11?dib=eyJ2IjoiMSJ9.Iz7Ja1WtBIJvVZRrC-G1ybL06r1Uuabsj5t3dOYz0A-ETu1G_72WA071M2pQ2dAMuzp0CGdJox5fN2LXJ9Iz40FHHBpVO2OfZknSYrwQqugVMJHL4OuKMurQ2-6ybvYuhv6c70UjqHGM-dp51UWUfQ15Yt0znfrPWv-RG6ftPXsOHIyqhOamVx9Pn_G06hFvrDOu7a7dTKwdOkLhxEP4oEEOeQ2Tc9rcMtZHa8HGpZw.icNgq-DuTU0wW6br2T7yM_lOvIHkYNUPJWYIQiVS3OQ&dib_tag=se&keywords=Android+phones&qid=1772722783&sr=8-11
Motorola Moto G Play | 2024 | Unlocked | Made for US 4/64GB | 50MP Camera | Sapphire Blue,4.3,2K+ bought in past month,31871.55,"31,871.55",https://amazon.com/Moto-Play-Unlocked-Camera-Sapphire/dp/B0CP6DDN1H/ref=sr_1_12?dib=eyJ2IjoiMSJ9.Iz7Ja1WtBIJvVZRrC-G1ybL06r1Uuabsj5t3dOYz0A-ETu1G_72WA071M2pQ2dAMuzp0CGdJox5fN2LXJ9Iz40FHHBpVO2OfZknSYrwQqugVMJHL4OuKMurQ2-6ybvYuhv6c70UjqHGM-dp51UWUfQ15Yt0znfrPWv-RG6ftPXsOHIyqhOamVx9Pn_G06hFvrDOu7a7dTKwdOkLhxEP4oEEOeQ2Tc9rcMtZHa8HGpZw.icNgq-DuTU0wW6br2T7yM_lOvIHkYNUPJWYIQiVS3OQ&dib_tag=se&keywords=Android+phones&qid=1772722783&sr=8-12
Moto G Power 5G | 2024 | Unlocked | Made for US 8/128GB | 50MP Camera | Midnight Blue,4.3,,36341.95,"36,341.95",https://amazon.com/Power-Unlocked-128GB-Camera-Midnight/dp/B0CT6BQV81/ref=sr_1_13?dib=eyJ2IjoiMSJ9.Iz7Ja1WtBIJvVZRrC-G1ybL06r1Uuabsj5t3dOYz0A-ETu1G_72WA071M2pQ2dAMuzp0CGdJox5fN2LXJ9Iz40FHHBpVO2OfZknSYrwQqugVMJHL4OuKMurQ2-6ybvYuhv6c70UjqHGM-dp51UWUfQ15Yt0znfrPWv-RG6ftPXsOHIyqhOamVx9Pn_G06hFvrDOu7a7dTKwdOkLhxEP4oEEOeQ2Tc9rcMtZHa8HGpZw.icNgq-DuTU0wW6br2T7yM_lOvIHkYNUPJWYIQiVS3OQ&dib_tag=se&keywords=Android+phones&qid=1772722783&sr=8-13
"Motorola Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Caramel Latte | 2024, Unlocked, Made for US, 50MP Camera",4.5,500+ bought in past month,61224.13,"61,224.13",https://amazon.com/Stylus-Unlocked-256GB-Camera-Caramel/dp/B0D1ZFS9GH/ref=sr_1_14?dib=eyJ2IjoiMSJ9.Iz7Ja1WtBIJvVZRrC-G1ybL06r1Uuabsj5t3dOYz0A-ETu1G_72WA071M2pQ2dAMuzp0CGdJox5fN2LXJ9Iz40FHHBpVO2OfZknSYrwQqugVMJHL4OuKMurQ2-6ybvYuhv6c70UjqHGM-dp51UWUfQ15Yt0znfrPWv-RG6ftPXsOHIyqhOamVx9Pn_G06hFvrDOu7a7dTKwdOkLhxEP4oEEOeQ2Tc9rcMtZHa8HGpZw.icNgq-DuTU0wW6br2T7yM_lOvIHkYNUPJWYIQiVS3OQ&dib_tag=se&keywords=Android+phones&qid=1772722783&sr=8-14
Motorola Moto G Stylus - 2025 | Unlocked | Made for US 8/256GB | 50MP Camera | Pantone Gibraltar Sea,4.5,500+ bought in past month,97848.45,"97,848.45",https://amazon.com/Motorola-Moto-Stylus-Unlocked-Gibraltar/dp/B0DWV55DXH/ref=sr_1_15?dib=eyJ2IjoiMSJ9.Iz7Ja1WtBIJvVZRrC-G1ybL06r1Uuabsj5t3dOYz0A-ETu1G_72WA071M2pQ2dAMuzp0CGdJox5fN2LXJ9Iz40FHHBpVO2OfZknSYrwQqugVMJHL4OuKMurQ2-6ybvYuhv6c70UjqHGM-dp51UWUfQ15Yt0znfrPWv-RG6ftPXsOHIyqhOamVx9Pn_G06hFvrDOu7a7dTKwdOkLhxEP4oEEOeQ2Tc9rcMtZHa8HGpZw.icNgq-DuTU0wW6br2T7yM_lOvIHkYNUPJWYIQiVS3OQ&dib_tag=se&keywords=Android+phones&qid=1772722783&sr=8-15
"Motorola Moto G Power - 2026 | Unlocked | Made for US 8/128GB | 50MP Camera | Pantone Evening Blue | AI Camera System, Military Grade, Ram Boost | Universal unlocked, AI camera system, Military grade, Ram boost",4.6,500+ bought in past month,83869.7,"83,869.70",https://amazon.com/Motorola-Moto-Power-Unlocked-Military/dp/B0FXBRKCGQ/ref=sr_1_16?dib=eyJ2IjoiMSJ9.Iz7Ja1WtBIJvVZRrC-G1ybL06r1Uuabsj5t3dOYz0A-ETu1G_72WA071M2pQ2dAMuzp0CGdJox5fN2LXJ9Iz40FHHBpVO2OfZknSYrwQqugVMJHL4OuKMurQ2-6ybvYuhv6c70UjqHGM-dp51UWUfQ15Yt0znfrPWv-RG6ftPXsOHIyqhOamVx9Pn_G06hFvrDOu7a7dTKwdOkLhxEP4oEEOeQ2Tc9rcMtZHa8HGpZw.icNgq-DuTU0wW6br2T7yM_lOvIHkYNUPJWYIQiVS3OQ&dib_tag=se&keywords=Android+phones&qid=1772722783&sr=8-16
